name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
Argentina,ARG,ARS,2.5,1,8709.072,8709.072,2000-04-01
Australia,AUS,AUD,2.59,1.68,21813.868,33802.68,2000-04-01
Brazil,BRA,BRL,2.95,1.79,3501.438,6351.375,2000-04-01
Canada,CAN,CAD,2.85,1.47,22340.553,33191.468,2000-04-01
Switzerland,CHE,CHF,5.9,1.7,42350.274,63616.676,2000-04-01
Chile,CHL,CLP,1260,514,4978.07,2532746.812,2000-04-01
China,CHN,CNY,9.9,8.28,875.39,7246.729,2000-04-01
Czech Republic,CZE,CZK,54.37,39.1,6374.041,220345.822,2000-04-01
Denmark,DNK,DKK,24.75,8.04,33477.76,233548.888,2000-04-01
Euro area,EUZ,EUR,2.56,1.075268817,23611.301158988,22132.0999986317,2000-04-01
Britain,GBR,GBP,1.9,0.632911392,28864.384,17836.668,2000-04-01
Hong Kong,HKG,HKD,10.2,7.79,24969.005,193736.592,2000-04-01
Hungary,HUN,HUF,339,279,4794.713,1137046.328,2000-04-01
Indonesia,IDN,IDR,14500,7945,829.574,6516424.779,2000-04-01
Israel,ISR,ILS,14.5,4.05,19833.438,82104.816,2000-04-01
Japan,JPN,JPY,294,106,37041.579,4219287.921,2000-04-01
South Korea,KOR,KRW,3000,1108,11056.713,13151287.04,2000-04-01
Mexico,MEX,MXN,20.9,9.41,6435.62,61527.956,2000-04-01
Malaysia,MYS,MYR,4.52,3.8,3762.769,14298.522,2000-04-01
New Zealand,NZL,NZD,3.4,2.01,15348.777,28984.963,2000-04-01
Poland,POL,PLN,5.5,4.3,4361.775,17303.926,2000-04-01
Russia,RUS,RUB,39.5,28.5,1423.895,35097.465,2000-04-01
Singapore,SGP,SGD,3.2,1.7,21796.642,36944.363,2000-04-01
Sweden,SWE,SEK,24,8.84,30956.351,255774.635,2000-04-01
Thailand,THA,THB,55,38,2033.26,76885.008,2000-04-01
Taiwan,TWN,TWD,70,30.6,13752.716,443795.548,2000-04-01
United States,USA,USD,2.24,1,34496.241,34496.241,2000-04-01
South Africa,ZAF,ZAR,9,6.72,3423.595,20929.007,2000-04-01
Argentina,ARG,ARS,2.5,1,8638.543,8638.543,2001-04-01
Australia,AUS,AUD,3,1.98,20951.98,35982.431,2001-04-01
Brazil,BRA,BRL,3.6,2.19,3751.971,6863.886,2001-04-01
Canada,CAN,CAD,3.33,1.56,24296.721,36090.206,2001-04-01
Switzerland,CHE,CHF,6.3,1.73,39416.937,66568.998,2001-04-01
Chile,CHL,CLP,1260,601,5092.521,2747368.59,2001-04-01
China,CHN,CNY,9.9,8.28,962.851,7970.823,2001-04-01
Czech Republic,CZE,CZK,56,39,6048.872,233477.05,2001-04-01
Denmark,DNK,DKK,24.75,8.46,30777.178,248776.365,2001-04-01
Euro area,EUZ,EUR,2.57,1.136363636,21456.2685544645,23220.5505925499,2001-04-01
Britain,GBR,GBP,1.99,0.699300699,28440.794,18760.979,2001-04-01
Hong Kong,HKG,HKD,10.7,7.8,25574.491,199284.959,2001-04-01
Hungary,HUN,HUF,399,303,4624.923,1305056.838,2001-04-01
Indonesia,IDN,IDR,14700,10855,870.154,7328240.7,2001-04-01
Japan,JPN,JPY,294,124,39756.595,4284389.241,2001-04-01
South Korea,KOR,KRW,3000,1325,12716.99,14374808.64,2001-04-01
Mexico,MEX,MXN,21.9,9.29,7467.739,70611.7,2001-04-01
Malaysia,MYS,MYR,4.52,3.8,4347.73,16521.373,2001-04-01
New Zealand,NZL,NZD,3.6,2.47,14021.862,30657.479,2001-04-01
Philippines,PHL,PHP,59,50.3,1087.287,48051.397,2001-04-01
Poland,POL,PLN,5.9,4.03,4499.122,19553.52,2001-04-01
Russia,RUS,RUB,35,28.9,1896.592,53350.52,2001-04-01
Singapore,SGP,SGD,3.3,1.81,23852.834,41121.412,2001-04-01
Sweden,SWE,SEK,24,10.28,29596.808,271173.185,2001-04-01
Thailand,THA,THB,55,45.5,2005.977,80463.352,2001-04-01
Taiwan,TWN,TWD,70,32.9,14844.238,463648.655,2001-04-01
United States,USA,USD,2.24,1,36312.782,36312.782,2001-04-01
South Africa,ZAF,ZAR,9.7,8.13,3382.066,23455.189,2001-04-01
Argentina,ARG,ARS,2.5,3.13,8085.356,8085.356,2002-04-01
Australia,AUS,AUD,3,1.86,19538.175,37746.394,2002-04-01
Brazil,BRA,BRL,3.6,2.34,3163.671,7433.493,2002-04-01
Canada,CAN,CAD,3.33,1.57,23859.77,36954.966,2002-04-01
